time_bucket_id,unique_src_ips,unique_dst_ips,unique_dst_ports,avg_duration,failed_conns,tcp_count,dns_count,unique_domains,file_count,total_file_bytes,reporter_count,snmp_count,tunnel_count,unique_tunnel_types,failed_conn_ratio,tcp_ratio,snmp_write_ratio,traffic_asymmetry,total_bytes,src_concentration,weird_rate,dns_to_conn_ratio,nxdomain_ratio
18,892,145,289,0.3043887001720827,1826,1673,12.0,9.0,63.0,1216.0,18.0,3.0,8.0,1.0,0.8584861307005172,0.7865538316878232,0.0,-0.04893675563067489,25441.0,0.41937000470145747,0.0028208744710860366,0.005641748942172073,0.0
19,948,112,255,2.7016755707445985,2752,2689,6.0,4.0,118.0,6023.0,12.0,2.0,4.0,1.0,0.8937966872361156,0.8733354985384866,0.0,-0.18639484525192776,47335.0,0.3078921727833712,0.0035725885027606367,0.001948684637869438,0.0
20,1038,168,336,1.4201817450365184,3074,2954,11.0,8.0,417.0,62294333.0,13.0,3.0,3.0,1.0,0.8985676702718504,0.8634902075416545,0.0,-0.3845155376381653,10132428.0,0.3034200526161941,0.02572347266881029,0.003215434083601286,0.0
21,1055,137,280,0.3258504611210372,2629,2465,7.0,6.0,45.0,3185.0,17.0,8.0,2.0,1.0,0.9021962937542896,0.8459162663006177,0.0,-0.0927824157244003,18926.0,0.3620452985586822,0.005147563486616335,0.0024021962937542897,0.0
22,1036,156,325,0.7229392386995782,2145,1942,50.0,11.0,22.0,3796.0,8.0,5.0,3.0,1.0,0.8240491740299655,0.746062235881675,0.0,-0.053803459602906195,61799.0,0.3980023050326546,0.002305032654629274,0.01920860545524395,0.44
23,1125,129,451,0.3888183865577552,1764,1584,13.0,8.0,19.0,1390.0,15.0,1.0,2.0,1.0,0.8368121442125237,0.7514231499051234,0.0,-0.3023213638012332,22056.0,0.5336812144212524,0.03652751423149905,0.006166982922201139,0.38461538461538464
24,1069,133,454,0.323291363201596,1804,1592,8.0,7.0,10.0,914.0,15.0,3.0,0.0,0.0,0.8541666666666666,0.7537878787878788,0.0,0.26625766871165646,8150.0,0.506155303030303,0.04024621212121212,0.003787878787878788,0.0
25,1032,122,362,0.5255768033319539,1636,1508,9.0,8.0,44.0,59498.0,12.0,4.0,5.0,1.0,0.854308093994778,0.787467362924282,0.0,0.99951801560685,246327478.0,0.5389033942558746,0.005221932114882507,0.004699738903394256,0.0
26,998,118,376,0.3302969272527317,1595,1408,12.0,8.0,15.0,1054.0,15.0,0.0,4.0,1.0,0.8421330517423442,0.7434002111932418,0.0,-0.14137447405329592,42780.0,0.5269271383315733,0.0015839493136219642,0.006335797254487857,0.0
27,1084,125,618,0.4136427657808408,2067,1614,6.0,5.0,13.0,1110.0,15.0,4.0,7.0,1.0,0.7829545454545455,0.6113636363636363,0.0,0.01169445135605872,8038.0,0.4106060606060606,0.017045454545454544,0.0022727272727272726,0.0
